minbound,shape,unit
84369,11,3
447804,10,3
0,8,3

IX,IY,IZ,value
9,2,2,-1

9,2,3,-1

9,2,4,-1

9,2,5,-1

9,2,6,-1

9,2,7,-1

9,3,0,-1

9,3,1,0

9,3,2,0.478873

9,3,3,0.816901

9,3,4,0.943662

9,3,5,1

9,3,6,1

9,3,7,1

9,4,0,-1

9,4,1,0.225352

9,4,2,0.549296

9,4,3,0.84507

9,4,4,0.943662

9,4,5,1

9,4,6,1

9,4,7,1

9,5,0,-1

9,5,1,0.309859

9,5,2,0.633803

9,5,3,0.830986

9,5,4,0.929577

9,5,5,1

9,5,6,1

9,5,7,1

9,6,0,-1

9,6,1,0.352113

9,6,2,0.619718

9,6,3,0.760563

9,6,4,0.901408

9,6,5,1

9,6,6,1

9,6,7,1

9,7,0,-1

9,7,1,0.394366

9,7,2,0.647887

9,7,3,0.774648

9,7,4,0.859155

9,7,5,1

9,7,6,1

9,7,7,1

9,8,0,-1

9,8,1,-1

9,8,2,-1

9,8,3,-1

9,8,4,-1

9,8,5,-1

9,8,6,-1

9,8,7,-1

9,9,0,-1

9,9,1,-1

9,9,2,-1

9,9,3,-1

9,9,4,-1

9,9,5,-1

9,9,6,-1

9,9,7,-1

10,0,0,-1

10,0,1,-1

10,0,2,-1

10,0,3,-1

10,0,4,-1

10,0,5,-1

10,0,6,-1

10,0,7,-1

10,1,0,-1

10,1,1,-1

10,1,2,-1

10,1,3,-1

10,1,4,-1

10,1,5,-1

10,1,6,-1

10,1,7,-1

10,2,0,-1

10,2,1,-1

10,2,2,-1

10,2,3,-1

10,2,4,-1

10,2,5,-1

10,2,6,-1

10,2,7,-1

10,3,0,-1

10,3,1,-1

10,3,2,-1

10,3,3,-1

10,3,4,-1

10,3,5,-1

10,3,6,-1

10,3,7,-1

10,4,0,-1

10,4,1,-1

10,4,2,-1

10,4,3,-1

10,4,4,-1

10,4,5,-1

10,4,6,-1

10,4,7,-1

10,5,0,-1

10,5,1,-1

10,5,2,-1

10,5,3,-1

10,5,4,-1

10,5,5,-1

10,5,6,-1

10,5,7,-1

10,6,0,-1

10,6,1,-1

10,6,2,-1

10,6,3,-1

10,6,4,-1

10,6,5,-1

10,6,6,-1

10,6,7,-1

10,7,0,-1

10,7,1,-1

10,7,2,-1

10,7,3,-1

10,7,4,-1

10,7,5,-1

10,7,6,-1

10,7,7,-1

10,8,0,-1

10,8,1,-1

10,8,2,-1

