,0
1595,4764
1596,4765
1597,4766
1598,4777
1599,4778
1600,4779
1601,4790
1602,4791
1603,4800
1604,4801
1605,4802
1606,4803
1607,4808
1608,4809
1609,4810
1610,4811
1611,4815
1612,4816
1613,4817
1614,4818
1615,4822
1616,4823
1617,4824
1618,4825
1619,4826
1620,4827
1621,4833
1622,4834
1623,4836
1624,4844
1625,4845
1626,4856
1627,4857
1628,4858
1629,4870
1630,4871
1631,4872
1632,4873
1633,4874
1634,4886
1635,4887
1636,4888
1637,4889
1638,4890
1639,4891
1640,4903
1641,4904
1642,4905
1643,4906
1644,4908
1645,4920
1646,4921
1647,4922
1648,4924
1649,4935
1650,4936
1651,4937
1652,4948
1653,4949
1654,4951
1655,4957
1656,4958
1657,4959
1658,4960
1659,4961
1660,4962
1661,4965
1662,4966
1663,4967
1664,4968
1665,4969
1666,4970
1667,4973
1668,4974
1669,4975
1670,4976
1671,4980
1672,4981
1673,4982
1674,4983
1675,4984
1676,4985
1677,4990
1678,4991
1679,4994
1680,4995
1681,5002
1682,5003
1683,5014
1684,5015
1685,5016
1686,5028
1687,5029
1688,5030
1689,5032
1690,5044
1691,5045
1692,5046
1693,5047
1694,5049
1695,5061
1696,5062
1697,5063
1698,5066
1699,5067
1700,5078
1701,5079
1702,5080
1703,5082
1704,5093
1705,5094
1706,5096
1707,5105
1708,5106
1709,5107
1710,5109
1711,5110
1712,5114
1713,5115
1714,5116
1715,5117
1716,5118
1717,5119
1718,5120
1719,5121
1720,5123
1721,5124
1722,5125
1723,5126
1724,5127
1725,5128
1726,5131
1727,5132
1728,5133
1729,5134
1730,5135
1731,5137
1732,5138
1733,5139
1734,5141
1735,5142
1736,5143
1737,5147
1738,5148
1739,5149
1740,5152
1741,5153
1742,5154
1743,5160
1744,5162
1745,5164
1746,5171
1747,5172
1748,5173
1749,5174
1750,5175
1751,5185
1752,5186
1753,5187
1754,5188
1755,5190
1756,5191
1757,5202
1758,5203
1759,5204
1760,5207
1761,5208
1762,5219
1763,5220
1764,5221
1765,5225
1766,5236
1767,5237
1768,5238
1769,5240
1770,5251
1771,5252
1772,5254
1773,5262
1774,5263
1775,5264
1776,5267
1777,5268
1778,5269
1779,5272
1780,5273
1781,5274
1782,5275
1783,5276
1784,5277
1785,5278
1786,5279
1787,5281
1788,5282
1789,5283
1790,5284
1791,5285
1792,5286
1793,5288
1794,5289
1795,5290
1796,5291
1797,5292
1798,5293
1799,5295
1800,5296
1801,5297
1802,5299
1803,5300
1804,5301
1805,5305
1806,5306
1807,5309
1808,5310
1809,5311
1810,5312
1811,5317
1812,5318
1813,5320
1814,5322
1815,5323
1816,5329
1817,5330
1818,5333
1819,5343
1820,5344
1821,5345
1822,5346
1823,5348
1824,5349
