tile_id,x1,y1,x2,y2
389,173680,514570,178640,519530
390,178640,514570,183600,519530
391,183600,519530,188560,524490
392,183600,514570,188560,519530
393,168720,524490,173680,529450
394,168720,529450,173680,534410
395,173680,529450,178640,534410
396,168720,534410,173680,539370
397,168720,539370,173680,544330
398,173680,534410,178640,539370
399,178640,534410,183600,539370
400,178640,539370,183600,544330
401,183600,539370,188560,544330
402,183600,534410,188560,539370
403,178640,529450,183600,534410
404,183600,529450,188560,534410
405,183600,524490,188560,529450
406,188560,534410,193520,539370
407,188560,539370,193520,544330
408,193520,534410,198480,539370
409,198480,539370,203440,544330
410,203440,539370,208400,544330
411,203440,534410,208400,539370
412,198480,524490,203440,529450
413,198480,529450,203440,534410
414,203440,524490,208400,529450
415,188560,509610,193520,514570
416,193520,509610,198480,514570
417,193520,504650,198480,509610
418,188560,514570,193520,519530
419,188560,519530,193520,524490
420,193520,519530,198480,524490
421,193520,514570,198480,519530
422,198480,519530,203440,524490
423,203440,519530,208400,524490
424,203440,514570,208400,519530
425,198480,509610,203440,514570
426,203440,509610,208400,514570
427,208400,504650,213360,509610
428,208400,509610,213360,514570
429,213360,504650,218320,509610
430,213360,514570,218320,519530
431,218320,514570,223280,519530
432,218320,519530,223280,524490
433,223280,514570,228240,519530
434,218320,504650,223280,509610
435,218320,509610,223280,514570
436,208400,524490,213360,529450
437,208400,529450,213360,534410
438,213360,529450,218320,534410
439,213360,524490,218320,529450
440,208400,534410,213360,539370
441,208400,539370,213360,544330
442,213360,539370,218320,544330
443,213360,534410,218320,539370
444,218320,534410,223280,539370
445,218320,539370,223280,544330
446,223280,539370,228240,544330
447,223280,534410,228240,539370
448,218320,524490,223280,529450
449,218320,529450,223280,534410
450,223280,529450,228240,534410
451,228240,529450,233200,534410
452,233200,529450,238160,534410
453,233200,524490,238160,529450
454,228240,534410,233200,539370
455,233200,534410,238160,539370
456,238160,534410,243120,539370
457,238160,539370,243120,544330
458,243120,539370,248080,544330
459,243120,534410,248080,539370
460,238160,524490,243120,529450
461,238160,529450,243120,534410
462,243120,529450,248080,534410
463,243120,524490,248080,529450
464,228240,504650,233200,509610
465,228240,509610,233200,514570
466,233200,504650,238160,509610
467,228240,514570,233200,519530
468,228240,519530,233200,524490
469,233200,519530,238160,524490
470,238160,514570,243120,519530
471,238160,519530,243120,524490
472,243120,514570,248080,519530
473,238160,504650,243120,509610
474,243120,509610,248080,514570
475,243120,504650,248080,509610
476,213360,464970,218320,469930
477,208400,479850,213360,484810
478,213360,479850,218320,484810
479,213360,474890,218320,479850
480,218320,474890,223280,479850
481,218320,479850,223280,484810
482,223280,479850,228240,484810
483,218320,464970,223280,469930
484,218320,469930,223280,474890
485,223280,469930,228240,474890
486,223280,464970,228240,469930
487,208400,484810,213360,489770
488,208400,489770,213360,494730
489,208400,494730,213360,499690
490,208400,499690,213360,504650
491,213360,494730,218320,499690
492,218320,499690,223280,504650
493,223280,494730,228240,499690
494,218320,484810,223280,489770
495,218320,489770,223280,494730
496,223280,489770,228240,494730
497,228240,489770,233200,494730
498,233200,489770,238160,494730
499,228240,499690,233200,504650
500,233200,499690,238160,504650
501,238160,499690,243120,504650
502,243120,499690,248080,504650
503,243120,494730,248080,499690
504,243120,489770,248080,494730
505,228240,464970,233200,469930
506,233200,464970,238160,469930
507,233200,479850,238160,484810
508,238160,474890,243120,479850
509,238160,464970,243120,469930
510,238160,469930,243120,474890
511,243120,469930,248080,474890
512,243120,464970,248080,469930
513,168720,544330,173680,549290
514,168720,549290,173680,554250
515,173680,549290,178640,554250
516,173680,544330,178640,549290
517,173680,554250,178640,559210
518,178640,554250,183600,559210
519,178640,559210,183600,564170
520,183600,559210,188560,564170
521,183600,554250,188560,559210
522,178640,544330,183600,549290
523,183600,544330,188560,549290
524,168720,564170,173680,569130
525,168720,569130,173680,574090
526,173680,569130,178640,574090
527,173680,564170,178640,569130
528,168720,574090,173680,579050
529,173680,579050,178640,584010
530,173680,574090,178640,579050
531,178640,564170,183600,569130
532,178640,569130,183600,574090
533,183600,569130,188560,574090
534,188560,564170,193520,569130
535,188560,569130,193520,574090
536,193520,569130,198480,574090
537,193520,564170,198480,569130
538,188560,574090,193520,579050
539,198480,574090,203440,579050
540,203440,579050,208400,584010
541,188560,544330,193520,549290
542,193520,549290,198480,554250
543,193520,544330,198480,549290
544,188560,554250,193520,559210
545,188560,559210,193520,564170
546,193520,559210,198480,564170
547,193520,554250,198480,559210
548,198480,559210,203440,564170
549,203440,559210,208400,564170
550,203440,554250,208400,559210
551,198480,544330,203440,549290
552,198480,549290,203440,554250
553,203440,549290,208400,554250
554,203440,544330,208400,549290
555,168720,588970,173680,593930
556,173680,588970,178640,593930
557,173680,584010,178640,588970
558,178640,588970,183600,593930
559,183600,588970,188560,593930
560,183600,584010,188560,588970
561,188560,584010,193520,588970
562,188560,588970,193520,593930
563,188560,593930,193520,598890
564,188560,598890,193520,603850
565,193520,598890,198480,603850
566,193520,593930,198480,598890
567,198480,593930,203440,598890
568,198480,598890,203440,603850
569,203440,598890,208400,603850
570,203440,593930,208400,598890
571,198480,588970,203440,593930
572,203440,588970,208400,593930
573,208400,584010,213360,588970
574,208400,588970,213360,593930
575,213360,588970,218320,593930
576,213360,584010,218320,588970
577,218320,593930,223280,598890
578,218320,598890,223280,603850
579,223280,598890,228240,603850
580,223280,593930,228240,598890
581,218320,588970,223280,593930
582,223280,588970,228240,593930
583,223280,584010,228240,588970
584,228240,584010,233200,588970
585,228240,588970,233200,593930
586,228240,598890,233200,603850
587,233200,598890,238160,603850
588,233200,593930,238160,598890
589,238160,593930,243120,598890
590,243120,598890,248080,603850
591,243120,593930,248080,598890
592,238160,584010,243120,588970
593,238160,588970,243120,593930
594,243120,588970,248080,593930
595,243120,584010,248080,588970
596,208400,544330,213360,549290
597,208400,549290,213360,554250
598,213360,549290,218320,554250
599,213360,544330,218320,549290
600,208400,554250,213360,559210
601,208400,559210,213360,564170
602,213360,559210,218320,564170
603,218320,544330,223280,549290
604,223280,544330,228240,549290
605,208400,564170,213360,569130
